paper_id	0	1	2	3	4	5	6	decision
cD0O_Sc-wNy	8.0	3.0	5.0	6.0				Reject
dtt435G80Ng	5.0	5.0	5.0	3.0				Reject
LtI14EpWKH	5.0	3.0	3.0	5.0				Reject
xspalMXAB0M	5.0	6.0	3.0	5.0	6.0			Reject
p7LSrQ3AADp	8.0	3.0	5.0					Reject
VFBjuF8HEp	6.0	8.0	6.0	6.0				Accept (Poster)
jE_ipyh20rb	3.0	5.0	6.0	5.0				Reject
YLglAn-USkf	3.0	6.0	5.0	6.0				Reject
mFpP0THYeaX	5.0	3.0	5.0	3.0	6.0			Reject
q4HaTeMO--y	6.0	6.0	6.0	8.0				Accept (Poster)
FPCMqjI0jXN	8.0	8.0	6.0					Accept (Oral)
5hLP5JY9S2d	8.0	6.0	8.0					Accept (Oral)
JHXjK94yH-y	5.0	3.0	5.0					Reject
js62_xuLDDv	6.0	6.0	8.0	6.0				Accept (Poster)
rS9t6WH34p	6.0	6.0	8.0	5.0				Reject
VqzXzA9hjaX	6.0	6.0	6.0	6.0				Accept (Poster)
vdbidlOkeF0	6.0	6.0	5.0	3.0				Reject
7AzOUBeajwl	3.0	3.0	5.0	6.0				Reject
nsjkNB2oKsQ	5.0	3.0	3.0	3.0				Reject
2hMEdc35xZ6	3.0	3.0	5.0	3.0	3.0			Reject
uHv20yi8saL	8.0	6.0	6.0	3.0				Reject
5FUq05QRc5b	8.0	8.0	8.0					Accept (Spotlight)
Py8WbvKH_wv	5.0	5.0	6.0	6.0				Reject
R11xJsRjA-W	1.0	5.0	5.0	3.0				Reject
5xEgrl_5FAJ	8.0	6.0	5.0	6.0	6.0			Accept (Poster)
iGffRQ9jQpQ	5.0	5.0	6.0	3.0				Reject
bVT5w39X0a	3.0	5.0	3.0	5.0				Reject
I2Hw58KHp8O	8.0	8.0	8.0	3.0				Accept (Poster)
bilHNPhT6-	5.0	6.0	3.0	6.0				Reject
LQCUmLgFlR	6.0	3.0	6.0	5.0				Reject
rbFPSQHlllm	1.0	3.0	3.0	1.0				Reject
ms7xJWbf8Ku	3.0	6.0	5.0	6.0	5.0			Reject
nwKXyFvaUm	6.0	3.0	6.0	8.0				Accept (Poster)
anbBFlX1tJ1	6.0	8.0	6.0	6.0				Accept (Poster)
JVWB8QRUOi-	5.0	3.0	3.0					Reject
dEelotBE6e2	3.0	8.0	5.0	3.0				Reject
FndDxSz3LxQ	5.0	6.0	6.0	6.0				Accept (Poster)
HRL6el2SBQ	6.0	8.0	5.0	3.0				Reject
t1QXzSGwr9	3.0	1.0	5.0	3.0				Reject
e0uknAgETh	5.0	5.0	5.0	5.0				Reject
8XM-AXMnAk_	6.0	6.0	3.0	6.0				Reject
qZNw8Ao_BIC	3.0	8.0	6.0	5.0				Reject
RLtqs6pzj1-	5.0	6.0	6.0	6.0				Accept (Poster)
kHNKTO2sYH	6.0	6.0	6.0					Reject
izj68lUcBpt	6.0	8.0	6.0	5.0				Accept (Poster)
dzZQEvQ6dRK	5.0	5.0	8.0	3.0				Reject
bgAS1ZvveZ	6.0	6.0	3.0	6.0				Reject
biyvmQe5jM	6.0	3.0	3.0	6.0				Reject
nkaba3ND7B5	8.0	5.0	8.0	3.0				Accept (Poster)
OqlohL9sVO	5.0	3.0	6.0	1.0				Reject
cLcLdwOfhoe	6.0	3.0	5.0	5.0				Reject
FZoZ7a31GCW	8.0	5.0	8.0					Accept (Poster)
8rCMq0yJMG	3.0	8.0	5.0	6.0				Reject
So6YAqnqgMj	5.0	8.0	5.0	8.0				Accept (Poster)
Zca3NK3X8G	8.0	5.0	5.0	8.0				Reject
YfFWrndRGQx	6.0	6.0	6.0	6.0				Reject
Oh1r2wApbPv	6.0	6.0	8.0	8.0				Accept (Poster)
youe3QQepVB	6.0	5.0	5.0					Reject
8Py-W8lSUgy	5.0	6.0	6.0	8.0				Accept (Spotlight)
fVu3o-YUGQK	8.0	6.0	8.0					Accept (Poster)
N0uJGWDw21d	8.0	6.0	6.0	6.0				Accept (Poster)
q79uMSC6ZBT	8.0	5.0	6.0	8.0				Accept (Poster)
-9ffJ9NQmal	3.0	6.0	5.0	3.0				Reject
UvNXZgJAOAP	3.0	5.0	3.0	6.0				Reject
2yITmG7YIFT	5.0	3.0	1.0	5.0				Reject
kUGYDTJUcuc	6.0	3.0	3.0					Reject
F2r3wYar3Py	5.0	5.0	5.0	6.0				Reject
36SHWj0Gp1	1.0	3.0	6.0					Reject
n6Bc3YElODq	3.0	5.0	5.0	5.0				Reject
Ti2i204vZON	3.0	6.0	3.0	6.0				Reject
lvM693mon8q	5.0	5.0	5.0	6.0				Reject
f4c4JtbHJ7B	3.0	5.0	6.0	3.0				Reject
rGg-Qcyplgq	6.0	5.0	6.0					Reject
bE239PSGIGZ	6.0	5.0	6.0	8.0				Reject
SHbhHHfePhP	8.0	5.0	8.0	6.0				Accept (Poster)
xaTensJtCP5	5.0	8.0	5.0	3.0				Reject
TXqemS7XEH	3.0	5.0	3.0	3.0	6.0			Reject
iaxWbVx-CG_	6.0	5.0	6.0	6.0				Reject
EMLJ_mTz_z	8.0	6.0	5.0	3.0				Reject
kO-wQWwqnO	5.0	3.0	5.0	3.0				Reject
fJIrkNKGBNI	5.0	5.0	5.0	5.0				Reject
